Year,Month,Department,Division,Merchant,TranxDescription,TranxDate,TrnxAmount,Difference
2019,10,JUDICIAL,Office Of The Child Advocate,AMZN MKTP US*MZ0BO0G82,Book Stores,04/24/2019,81.93,18.069999999999993
2021,11,JUDICIAL,Court Of Common Pleas,EASTERN SHORE COFFEE And WA,Business Services-Not Elsewhere Classified,05-03-2021,55.19,44.81
2019,3,DEPT OF TRANSPORTATION,Maintenance Districts,FASTENAL COMPANY01,Hardware Stores,09/25/2018,681.75,-581.75
2020,2,DEL TECH AND COMM COLLEGE,DTCC - Terry Campus,DE CITY OF DOVER UTLTES,Utlts-Elctrc Gas Heating Oil Sanitary Water,08-06-2019,5.5,94.5
2021,3,DEL TECH AND COMM COLLEGE,DTCC - Terry Campus,PASCO OF DOVER #820,Motor Vehicle Supplies And New Parts,09-09-2020,112.85,-12.849999999999994
2020,8,DEL TECH AND COMM COLLEGE,Owens Campus,GRAVES UNIFORMS LLC,Family Clothing Stores,01/30/2020,1433.0,-1333.0
2022,5,DEPT OF NATRL RES AND ENV CONT,Fish and Wildlife,LAUREL COMMUNITY HARDWARE,Hardware Stores,11-05-2021,12.87,87.13
2021,12,DEPT OF CORRECTIONS,Sussex Cty Community Correctio,BLUE RIDGE FISH HATCHERY,Sporting Goods Stores,06/16/2021,636.6,-536.6
2020,1,DEPT OF SAFETY AND HOMELAND,Division of Forensic Science,GNLV FOOD CART,Eating Places Restaurants,07/23/2019,11.0,89.0
2019,6,DEPT OF STATE,Veterans Home,EASTERN SHORE COFFEE And WA,Business Services-Not Elsewhere Classified,11/27/2018,324.5,-224.5
2022,5,DEL TECH AND COMM COLLEGE,Owens Campus,4IMPRINT INC,Direct Marketing-Other Direct Marketers-Not Elsew,10/28/2021,458.82,-358.82
2019,7,DEPT OF TRANSPORTATION,Maintenance Districts,DS SERVICES STANDARD COFF,Nondurable Goods Not Elsewhere Classified,12/28/2018,9.0,91.0
2020,4,DEL TECH AND COMM COLLEGE,Owens Campus,VIDEOBLOCKS 888-353-1410,Motion Picture-Video Tape Production-Distribution,09/28/2019,149.0,-49.0
2019,11,DEPT OF TRANSPORTATION,Maintenance Districts,TURF EQUIPMENT And SUPPLY,Commercial Equipment Not Elsewhere Classified,05/22/2019,149.99,-49.99000000000001
2021,4,DEPT OF CORRECTIONS,James T Vaughn Correctional C,GRAVES UNIFORMS LLC,Family Clothing Stores,10-02-2020,89.0,11.0
2023,6,DEPT OF HEALTH AND SOCIAL SV,Hospital ft Chronically Ill,STAPLES INC VT,Stationery-Office Supplies-Printing Writing Pap,12/14/2022,146.63,-46.629999999999995
2019,7,DEPT OF STATE,Office of the Director,THE HOME DEPOT #1605,Home Supply Warehouse Stores,12/27/2018,42.98,57.02
2019,2,DEPT OF STATE,State Banking Commission,ARAMARK FDIC VA SQUARE CA,Fast Food Restaurants,08/13/2018,3.03,96.97
2021,11,DEPT OF STATE,Office of the Director,SAMSON HISTORICAL,Miscellaneous General Merchandise,05-12-2021,290.5,-190.5
2020,9,DEPT OF HEALTH AND SOCIAL SV,Hospital ft Chronically Ill,WALMART.COM 8009666546,Discount Stores,03/14/2020,11.92,88.08
2021,9,DEPT OF CORRECTIONS,Facilities Maintenance,FASTENAL COMPANY 01DEMIF,Industrial Supplies Not Elsewhere Classified,03/17/2021,95.38,4.6200000000000045
2020,3,DEPT OF STATE,Delaware Economic Development,EASTERN SHORE COFFEE And WA,Business Services-Not Elsewhere Classified,09/17/2019,21.24,78.76
2019,3,MOT CHARTER SCHOOL,MOT Charter School,AMZN MKTP US,Book Stores,08/29/2018,314.72,-214.72000000000003
2020,7,DEPT OF TECHNOLOGY AND INFOR,Data Center And Operations,FRAUD CREDIT,Internal Transaction,01-10-2020,-0.5,99.5
2019,9,DEPT OF STATE,Office of the Director,COMCAST,Cable Satellite Other Pay Television Radio Svcs,03/19/2019,168.7,-68.69999999999999
2022,10,DEPT OF SAFETY AND HOMELAND,Division of Forensic Science,THE PALACE,Eating Places Restaurants,04-12-2022,56.0,44.0
2020,8,DEPT OF CORRECTIONS,Delaware Correctional Industri,MSC,Industrial Supplies Not Elsewhere Classified,01/30/2020,68.2,31.799999999999997
2019,2,DEPT OF SAFETY AND HOMELAND,Community Relations,WHATABURGER DLF,Fast Food Restaurants,08/16/2018,15.0,85.0
2020,8,DEPT OF FINANCE,Office Of The Secretary,AMAZON.COM*VN1W73UZ3,Book Stores,02/19/2020,78.44,21.560000000000002
2022,12,DEPARTMENT OF HUMAN RESOURCES,Office of the Secretary,UBER* TRIP,Travel,06-11-2022,41.93,58.07
2020,9,DEPT OF CORRECTIONS,Delaware Correctional Industri,LEE VALLEY TOOLS LTD.,Hardware Stores,03-11-2020,30.7,69.3
2020,1,DEPT OF TRANSPORTATION,Maintenance Districts,BURKE EQUIPMENT,Commercial Equipment Not Elsewhere Classified,07-01-2019,175.68,-75.68
2022,3,SVS FR CHILDREN YOUTH FAMILIES,InterventionTreatment,WAL-MART #2555,Grocery Stores Supermarkets,09-02-2021,53.14,46.86
2023,5,DEPT OF TRANSPORTATION,Maintenance Districts,ALAMO INDUSTRIAL,Industrial Supplies Not Elsewhere Classified,11-02-2022,-1842.93,-1742.93
2023,7,DEPT OF SAFETY AND HOMELAND,Dema,CDW GOVT #GK26813,Computers Computer Peripheral Equipment Software,01/26/2023,344.7,-244.7
2023,7,DEPT OF TRANSPORTATION,Maintenance Districts,MADDEN AUTO SUPPLY,Automotive Parts Accessories Stores,01-09-2023,135.97,-35.97
2023,3,JUDICIAL,Office of the Public Guardian,TST* CHESAPEAKE INN RESTA,Eating Places Restaurants,09-09-2022,358.92,-258.92
2021,5,CAPE HENLOPEN SCHOOL DISTRICT,Cape Henlopen School District,CAPE PHARMACY,Drug Stores Pharmacies,11/16/2020,0.04,99.96
2019,11,DEPT OF LABOR,Office Of The Secretary,CAN*CANONFINANCIAL CFS,Electronic Sales,05/20/2019,286.73,-186.73000000000002
2020,1,DEPT OF SAFETY AND HOMELAND,Dema,FARMERS MARKET B CLT,Fast Food Restaurants,07/20/2019,14.59,85.41
2022,6,DEL TECH AND COMM COLLEGE,WILMINGTON CAMPUS,SHIPT* ORDER,Grocery Stores Supermarkets,11/30/2021,193.44,-93.44
2020,4,DEPT OF HEALTH AND SOCIAL SV,Social Services,STATE JANITORAL SUPPLY,Cleaning And Maintenance Janitorial Services,10/23/2019,39.8,60.2
2019,4,DEPT OF TRANSPORTATION,Maintenance Districts,BELTWAY INTL TRUCKS LLC,Commercial Equipment Not Elsewhere Classified,10/15/2018,958.08,-858.08
2022,1,DEPT OF STATE,Veterans Home,EBAY O*01-07290-05232,Department Stores,07-02-2021,206.0,-106.0
2023,5,MILFORD SCHOOL DISTRICT,Milford School District,THE WEBSTAURANT STORE INC,Durable Goods Not Elsewhere Classified,11/21/2022,15.59,84.41
2021,2,DELMAR SCHOOL DISTRICT,Delmar School District,AMZN MKTP US*MF50K9L60,Book Stores,08-02-2020,20.94,79.06
2022,6,APPOQUINIMINK SCHOOL DISTRICT,Appoquinimink School District,SHOPRITEFOURSEASONSS1,Grocery Stores Supermarkets,11/30/2021,98.26,1.7399999999999949
2023,7,DEPT OF NATRL RES AND ENV CONT,Parks and Recreation,AMAZON.COM*JI39B8PS3,Book Stores,01-09-2023,5.44,94.56
2023,5,DEPT OF AGRICULTURE,Forest Service,CARHARTT,Family Clothing Stores,11/27/2022,584.89,-484.89
2020,2,DEL TECH AND COMM COLLEGE,WILMINGTON CAMPUS,CTY-OF-WILM-UTIL-PMNT,Utlts-Elctrc Gas Heating Oil Sanitary Water,08/19/2019,7.38,92.62
2023,7,SUSSEX ACADEMY OF ARTSSCIENCE,Sussex Academy Of ArtsScience,GIMKIT PRO - 1 YEAR,Schools Educational Svc-Not Elsewhere Classified,01/13/2023,59.88,40.12
2023,5,DEPT OF STATE,Del Comm of Veterans Affairs,EASTERN SHORE COFFEE And WA,Miscellaneous And Specialty Retail Stores,11-01-2022,2.0,98.0
2020,4,DEPT OF TRANSPORTATION,Maintenance Districts,FASTENAL COMPANY 01DENEA,Industrial Supplies Not Elsewhere Classified,09/30/2019,98.5,1.5
2021,10,LEGISLATIVE BRANCH,General Assembly House,ZOOM.US 888-799-9666,Telecom Incl Prepaid-Recurring Phone Svcs,04/15/2021,959.88,-859.88
2021,2,LAKE FOREST SCHOOL DISTRICT,Lake Forest School District,AMZN MKTP US*MM1UY5MW1,Book Stores,08/18/2020,98.0,2.0
2022,11,DEPT OF STATE,Delaware Tourism Office,UBER TRIP,Travel,05-03-2022,11.0,89.0
2019,2,RED CLAY CONSOLIDATED SCH DIST,Red Clay Consolidated Sch Dist,DTCC WDCE STN/WILM,Colleges Univ Pro Schools Junior Colleges,08-01-2018,75.0,25.0
2021,3,DEPT OF AGRICULTURE,Forest Service,CONOCO - FOX 155,Fuel Dispenser Automated,08/30/2020,35.76,64.24000000000001
2022,12,DEPT OF TRANSPORTATION,Planning,COL PRKNG GOV CNTR Q07,Automobile Parking Lots And Garages,06/22/2022,8.0,92.0
2020,6,COLONIAL SCHOOL DISTRICT,Colonial School District,SOUTHWES 5262152408192,Airline,12/20/2019,314.55,-214.55
2022,5,DEPT OF NATRL RES AND ENV CONT,Water,MUCKBOOTCOMPANYCOM,Shoe Stores,11-09-2021,166.5,-66.5
2020,9,EXECUTIVE,Fleet Management,WINNER FORD HYUNDAI,Auto Truck Dlrs-Sales Svc Reprs Prts Leasing,03/17/2020,1975.76,-1875.76
2023,2,DEPT OF CORRECTIONS,Delaware Correctional Industri,MADDEN AUTO SUPPLY,Automotive Parts Accessories Stores,08/17/2022,4.68,95.32
2020,8,DEPT OF HEALTH AND SOCIAL SV,Community Mental Health,WALGREENS #11028,Drug Stores Pharmacies,02-12-2020,5.49,94.51
2023,3,MOT CHARTER SCHOOL,MOT Charter School,THE HOME DEPOT #6843,Home Supply Warehouse Stores,09-07-2022,20.94,79.06
2019,2,DEPT OF CORRECTIONS,Office Of The Commissioner,SHI INTERNATIONAL CORP,Computers Computer Peripheral Equipment Software,08/24/2018,963.84,-863.84
2023,1,JUDICIAL,Justice of the Peace Court,WB MASON CO,Stationery-Office Supplies-Printing Writing Pap,06/28/2022,553.2,-453.20000000000005
2021,1,WOODBRIDGE SCHOOL DISTRICT,Woodbridge School District,NASCO FORT ATKINSON,Direct Marketing-Combination Catalog-Retail Merch,07/17/2020,74.55,25.450000000000003
2023,5,DEPT OF SAFETY AND HOMELAND,Patrol,RESTAURANT FURNITURE NET,Office And Commercial Furniture,10/28/2022,499.0,-399.0
2023,3,MOT CHARTER SCHOOL,MOT Charter School,AMZN MKTP US,Book Stores,09/15/2022,-45.55,54.45
2022,4,POSITIVE OUTCOMES CHARTER SCHL,Positive Outcomes Charter Schl,STAPLS7340698461000001,Stationery-Office Supplies-Printing Writing Pap,10-02-2021,132.99,-32.99000000000001
2021,1,DEPT OF CORRECTIONS,Facilities Maintenance,COONEY BROTHERS - GATEWAY,Construction Materials Not Elsewhere Classified,07-01-2020,254.9,-154.9
2023,5,DEPT OF HEALTH AND SOCIAL SV,Community Health,WESTIN SAVANNAH DINING,Eating Places Restaurants,11/14/2022,25.34,74.66
2019,11,DEPT OF STATE,Administration,UPS*2904I1EHBIF,Courier Svc-Air Ground Freight Forwarders,05/16/2019,6.9,93.1
2021,3,JUDICIAL,Family Court,AMZN MKTP US*MU5LX6DJ0,Book Stores,09/13/2020,639.92,-539.92
2019,6,INDIAN RIVER SCHOOL DISTRICT,Indian River School District,BJS WHOLESALE #0197,Wholesale Clubs,11/29/2018,28.97,71.03
2020,8,DELAWARE NATIONAL GUARD,Delaware National Guard,CHEVRON 0075728,Fuel Dispenser Automated,02-05-2020,43.4,56.6
2023,2,CAPE HENLOPEN SCHOOL DISTRICT,Cape Henlopen School District,SQ *THE BACKYARD LLC,Eating Places Restaurants,07/28/2022,132.5,-32.5
2023,5,DEPT OF NATRL RES AND ENV CONT,Parks and Recreation,EASTERN SHORE COFFEE And WA,Miscellaneous And Specialty Retail Stores,10/28/2022,45.96,54.04
2020,2,SEAFORD SCHOOL DISTRICT,Seaford School District,TEACHERSPAYTEACHERS.COM,Schools Educational Svc-Not Elsewhere Classified,08/26/2019,35.5,64.5
2022,12,DEL TECH AND COMM COLLEGE,Owens Campus,RADIATION DETECTION COMPA,Dental-Lab-Med-Ophthalmic Hosp Equip Supplies,06-02-2022,231.79,-131.79
2023,6,DEPT OF NATRL RES AND ENV CONT,Community Affairs,5.18E+14,Car Washes,12-05-2022,75.94,24.060000000000002
2020,3,DEPT OF FINANCE,Revenue,GULF OIL 91224120,Fuel Dispenser Automated,09/16/2019,17.57,82.43
2021,9,DEPT OF CORRECTIONS,Special Operations,AVCO KEY RINGS,Industrial Supplies Not Elsewhere Classified,03-08-2021,1168.2,-1068.2
2019,10,DEPT OF CORRECTIONS,Facilities Maintenance,DELAWARE ELEVATOR SALES,Electrical Parts And Equipment,04/16/2019,166.0,-66.0
2020,5,APPOQUINIMINK SCHOOL DISTRICT,Appoquinimink School District,AMZN MKTP US,Book Stores,10/30/2019,-62.88,37.12
2022,3,APPOQUINIMINK SCHOOL DISTRICT,Appoquinimink School District,AMAZON.COM*259WV64V2,Book Stores,08/31/2021,38.56,61.44
2021,9,POLYTECH SCHOOL DISTRICT,Polytech School District,STAMPS.COM,Business Services-Not Elsewhere Classified,03/13/2021,17.99,82.01
2021,6,LEGAL,Department of Justice,LANGUAGE LINE INC.,Business Services-Not Elsewhere Classified,12-10-2020,11.85,88.15
2020,2,DEPT OF SAFETY AND HOMELAND,Communication,WAYTEK INC,Electrical Parts And Equipment,08/21/2019,13.65,86.35
2022,4,DEL TECH AND COMM COLLEGE,DTCC - Terry Campus,HD SUPPLY FACILITIES,Commercial Equipment Not Elsewhere Classified,10/22/2021,319.15,-219.14999999999998
2020,10,DEPT OF TRANSPORTATION,Traffic,DELAWARE ELECTRIC COOPER,Utlts-Elctrc Gas Heating Oil Sanitary Water,04/14/2020,14.9,85.1
2023,7,DEPT OF STATE,Del Comm of Veterans Affairs,HOSE PROS,Miscellaneous General Merchandise,01-12-2023,105.81,-5.810000000000002
2019,1,STATE TREASURER,Administration,STAPLS0167515113000001,Stationery-Office Supplies-Printing Writing Pap,07/26/2018,22.76,77.24
2020,6,WOODBRIDGE SCHOOL DISTRICT,Woodbridge School District,AMAZON.COM*5317P7G13,Book Stores,12/20/2019,37.07,62.93
2020,5,DEPT OF NATRL RES AND ENV CONT,Waste and Hazardous Substances,AMZN MKTP US*NT1H23RR3,Book Stores,11/14/2019,22.24,77.76
2023,7,DEPT OF TRANSPORTATION,ENGINEERING SUPPORT,SUEZDEL,Utlts-Elctrc Gas Heating Oil Sanitary Water,01/18/2023,130.9,-30.900000000000006
2023,3,DEPT OF SAFETY AND HOMELAND,State Police-Executive,FUZZYS TACO SHOP - EULESS,Eating Places Restaurants,08/29/2022,12.89,87.11
2019,4,DEPT OF TRANSPORTATION,Maintenance Districts,WWW.PPCLUBRICANTS.COM,Petroleum And Petroleum Products,10-02-2018,746.0,-646.0
2019,9,DEPT OF NATRL RES AND ENV CONT,Climate Coastal and Energy,INDEPENDENT NEWSMEDIA,Direct Marketing-Other Direct Marketers-Not Elsew,03-05-2019,233.99,-133.99
2023,7,DEPT OF SAFETY AND HOMELAND,Patrol,UPS*BILLING CENTER,Courier Svc-Air Ground Freight Forwarders,01/23/2023,704.8,-604.8
2020,12,EXECUTIVE,Administration,HERTRICH CAPITOL,Auto Truck Dlrs-Sales Svc Reprs Prts Leasing,06/16/2020,1531.55,-1431.55
2019,3,DEPT OF HEALTH AND SOCIAL SV,Management Services,BJS WHOLESALE #0015,Wholesale Clubs,09/19/2018,133.84,-33.84
2019,2,LEGAL,Department of Justice,KENT CNTY MOTO08910010,Auto Truck Dlrs-Sales Svc Reprs Prts Leasing,08-03-2018,513.39,-413.39
2019,3,DEPT OF HEALTH AND SOCIAL SV,Community Health,BUBBA GUMP ANAHEIM,Eating Places Restaurants,08/30/2018,29.24,70.76
2021,9,DEPT OF EDUCATION,Student Support,AL'S SPORTING GOODS,Sporting Goods Stores,03-01-2021,237.5,-137.5
2019,11,DEPT OF NATRL RES AND ENV CONT,Watershed Stewardship,EXPEDIA 7431039292859,Travel,05-01-2019,162.75,-62.75
2023,3,APPOQUINIMINK SCHOOL DISTRICT,Appoquinimink School District,AMAZON.COM*1F2OU0TI1,Book Stores,09-06-2022,360.7,-260.7
2021,9,ACADEMIA ANTONIA ALONSO,Academia Antonia Alonso,TEACHERSPAYTEACHERS.COM,Schools Educational Svc-Not Elsewhere Classified,02/26/2021,5.0,95.0
2019,3,DEPT OF CORRECTIONS,James T Vaughn Correctional C,SSI*SCHOOL SPECIALTY,Direct Marketing-Other Direct Marketers-Not Elsew,09-04-2018,327.52,-227.51999999999998
2021,4,LEGAL,Department of Justice,MSE BRANDED SOUTH CAROLI,Fast Food Restaurants,10/22/2020,47.87,52.13
2023,4,CAESAR RODNEY SCHOOL DISTRICT,CAESAR RODNEY SCHOOL DISTRICT,AMZN MKTP US*141M460E1,Book Stores,10-01-2022,35.96,64.03999999999999
2022,12,CAPE HENLOPEN SCHOOL DISTRICT,Cape Henlopen School District,INDEED,Professional Services-Not Elsewhere Classified,06/16/2022,528.0,-428.0
2022,10,DEPT OF NATRL RES AND ENV CONT,Parks and Recreation,GRAF And SONS INC,Direct Marketing-Catalog Merchants,04-02-2022,269.35,-169.35000000000002
2023,2,ACADEMY OF DOVER CHARTER SCHL,Academy Of Dover Charter Schl,AMZN MKTP US*7O9YI8IB3,Book Stores,08/28/2022,18.99,81.01
2022,12,DEPT OF NATRL RES AND ENV CONT,Parks and Recreation,JUST FISH,Pet Shops - Pet Foods And Supplies,06-06-2022,12.99,87.01
2019,11,DEPT OF TRANSPORTATION,Maintenance Districts,GRAVES UNIFORMS LLC,Family Clothing Stores,05-07-2019,5523.95,-5423.95
2021,4,DEL TECH AND COMM COLLEGE,Owens Campus,ACTION UNLIMITED RESOURC,Miscellaneous General Merchandise,10/15/2020,2357.24,-2257.24
2021,9,DEPT OF NATRL RES AND ENV CONT,Fish and Wildlife,WEST MARINE #1345,Marinas Marine Service-Supplies,02/26/2021,0.55,99.45
2020,12,SVS FR CHILDREN YOUTH FAMILIES,Education Services,LA ORTOLANA PIZZA OF MILF,Eating Places Restaurants,06-12-2020,46.75,53.25
2023,2,APPOQUINIMINK SCHOOL DISTRICT,Appoquinimink School District,AMZN MKTP US*4Q23F9VG3,Book Stores,08-03-2022,12.99,87.01
2019,11,DEPT OF NATRL RES AND ENV CONT,Parks and Recreation,UNITED ELECTRIC DOVER,Electrical Parts And Equipment,05-03-2019,474.5,-374.5
2021,3,DEPT OF LABOR,Employment And Training Serv,CAN*CANONFINANCIAL CFS,Electronic Sales,08/28/2020,14.85,85.15
2023,7,MOT CHARTER SCHOOL,MOT Charter School,91225 - BOURSE GARAGE,Automobile Parking Lots And Garages,01/21/2023,27.0,73.0
2021,2,SUSSEX ACADEMY OF ARTSSCIENCE,Sussex Academy Of ArtsScience,AMZN MKTP US*MM3VR3D12,Book Stores,08/25/2020,127.24,-27.239999999999995
2019,2,DEPT OF HEALTH AND SOCIAL SV,Community Health,AMERICAN AIR0012104896040,Airline,08-10-2018,544.5,-444.5
2020,7,DEPT OF NATRL RES AND ENV CONT,Parks and Recreation,LOWES #02248*,Home Supply Warehouse Stores,01/24/2020,149.94,-49.94
2019,5,DEPT OF STATE,Corporations,STAPLS0170020262000002,Stationery-Office Supplies-Printing Writing Pap,10/31/2018,24.12,75.88
2021,5,DEPT OF LABOR,Employment And Training Serv,CAN*CANONFINANCIAL CFS,Electronic Sales,10/29/2020,64.66,35.34
2021,5,DEPT OF TRANSPORTATION,Maintenance Districts,SUEZDEL,Utlts-Elctrc Gas Heating Oil Sanitary Water,11-12-2020,122.88,-22.879999999999995
2021,12,JUDICIAL,Office of the Public Guardian,BOSCOVS 72,Department Stores,06-01-2021,-35.97,64.03
2020,12,DEPT OF TRANSPORTATION,Traffic,CITY-OF-NEWARK,Utlts-Elctrc Gas Heating Oil Sanitary Water,06/23/2020,47.96,52.04
2023,2,DEPT OF NATRL RES AND ENV CONT,Parks and Recreation,IDU*INSIGHT PUBLIC SEC,Computer Software Stores,08/19/2022,23.82,76.18
2019,11,DEPT OF NATRL RES AND ENV CONT,Watershed Stewardship,MILLER S ALE HOUSE 080,Eating Places Restaurants,05/16/2019,25.91,74.09
2023,7,LEGAL,Department of Justice,SPOON And CELLAR,Eating Places Restaurants,01-05-2023,41.39,58.61
2020,10,DEPT OF TRANSPORTATION,Traffic,CITY-OF-NEWARK,Utlts-Elctrc Gas Heating Oil Sanitary Water,04/16/2020,33.49,66.50999999999999
2021,10,LAS AMERICAS ASPIRA,Las Americas ASPIRA,LOWES #02258*,Home Supply Warehouse Stores,04-07-2021,127.76,-27.760000000000005
2019,2,DEL TECH AND COMM COLLEGE,DTCC - Terry Campus,SMYRNA CHRYSLER SERVICE,Auto Truck Dlrs-Sales Svc Reprs Prts Leasing,08-09-2018,42.95,57.05
2019,6,DEPT OF LABOR,Employment And Training Serv,SURF And TURF CAFE,Eating Places Restaurants,12-06-2018,4.35,95.65
2021,11,APPOQUINIMINK SCHOOL DISTRICT,Appoquinimink School District,OFFICE DEPOT #5910,Direct Marketing-Combination Catalog-Retail Merch,05/14/2021,165.36,-65.36000000000001
2019,10,DEPT OF TRANSPORTATION,Maintenance Districts,FIRST STATE CHEVROLET,Auto Truck Dlrs-Sales Svc Reprs Prts Leasing,04-01-2019,16.46,83.53999999999999
2021,11,LAKE FOREST SCHOOL DISTRICT,Lake Forest School District,AMZN MKTP US*ES7VD2MV3,Book Stores,05-06-2021,92.43,7.569999999999993
2021,4,WOODBRIDGE SCHOOL DISTRICT,Woodbridge School District,AMZN MKTP US*MK0TJ9E31,Book Stores,10-02-2020,142.85,-42.849999999999994
2023,5,APPOQUINIMINK SCHOOL DISTRICT,Appoquinimink School District,AMZN MKTP US*HI2K39GD0,Book Stores,11/17/2022,126.14,-26.14
2019,12,DEPT OF CORRECTIONS,Food Services,EMR,Miscellaneous Repair Shops And Related Services,06/20/2019,14384.87,-14284.87
2019,2,DEPT OF NATRL RES AND ENV CONT,Parks and Recreation,HERTZ RENT-A-CAR,Car Rental,08/22/2018,257.55,-157.55
2023,4,DEPT OF TRANSPORTATION,Maintenance Districts,MSC,Industrial Supplies Not Elsewhere Classified,10/19/2022,112.02,-12.019999999999996
2022,6,DEPT OF STATE,State Banking Commission,FEDEX 96298758,Courier Svc-Air Ground Freight Forwarders,12-04-2021,13.23,86.77
2020,3,DEPT OF SAFETY AND HOMELAND,Patrol,STAPLS0177282039000001,Stationery-Office Supplies-Printing Writing Pap,08/28/2019,594.65,-494.65
2021,2,DEPT OF NATRL RES AND ENV CONT,Parks and Recreation,CASTER-GUY-WEBSITE,Hardware Equipment And Supplies,07/30/2020,30.46,69.53999999999999
2023,6,APPOQUINIMINK SCHOOL DISTRICT,Appoquinimink School District,AMAZON.COM*HA0T98UY3,Book Stores,12-04-2022,36.46,63.54
2022,10,DEL TECH AND COMM COLLEGE,DTCC - Stanton Campus,AMZN MKTP US*1O25P9M60,Book Stores,04/24/2022,112.93,-12.930000000000007
2019,11,DEPT OF TRANSPORTATION,Capital Project Cost Center,UBER TRIP,Travel,05/24/2019,6.13,93.87
2020,8,DEPT OF NATRL RES AND ENV CONT,Community Affairs,DISCOUNTMUGS.COM,Direct Marketing-Catalog Merchants,02/13/2020,445.0,-345.0
2023,7,CAPE HENLOPEN SCHOOL DISTRICT,Cape Henlopen School District,AMZN MKTP US*KB1X52VR3,Book Stores,01-12-2023,4.79,95.21
2021,12,DEPT OF CORRECTIONS,Probation And Parole,DMI* DELL K-12/GOVT,Computers Computer Peripheral Equipment Software,06-10-2021,1187.8,-1087.8
2022,5,LEGAL,Department of Justice,COA*HTTP //WWW.CHEAPOA,Travel,11-03-2021,25.0,75.0
2019,6,DEPT OF STATE,Del Comm of Veterans Affairs,SCHAGRIN GAS CO.,Fuel Dealers-Coal Fuel Oil Liq Petroleum Wood,11/26/2018,624.95,-524.95
2020,9,LEGAL,Department of Justice,STAPLES 00115287,Office School Supply And Stationery Stores,03/13/2020,13.99,86.01
2019,5,CAESAR RODNEY SCHOOL DISTRICT,CAESAR RODNEY SCHOOL DISTRICT,RESTAURANTSTORE.COM,Commercial Equipment Not Elsewhere Classified,11-06-2018,287.93,-187.93
2022,4,DEPT OF HEALTH AND SOCIAL SV,Medicaid And Medical Assista,CORPORATE CATERERS NEWARK,Caterers,10-01-2021,43.65,56.35
2019,1,DEPT OF SAFETY AND HOMELAND,Div Of Alcohol And Tobac Enf,DOVER ARMY-NAVY STORE,Miscellaneous And Specialty Retail Stores,07/26/2018,5.0,95.0
2022,7,DEPT OF TRANSPORTATION,Maintenance Districts,FISHER AUTO PARTS 230,Automotive Parts Accessories Stores,01/26/2022,70.6,29.400000000000006
2020,9,DEPT OF SAFETY AND HOMELAND,State Police-Executive,THE LOBSTER HOUSE,Eating Places Restaurants,03/18/2020,52.08,47.92
2022,10,DEPT OF SAFETY AND HOMELAND,Communications,MCDONALD'S F22834,Fast Food Restaurants,04/14/2022,8.54,91.46000000000001
2019,9,DEPT OF TRANSPORTATION,Maintenance Districts,GRIFFITH ENERGY SERVIC,Fuel Dealers-Coal Fuel Oil Liq Petroleum Wood,02/27/2019,724.2,-624.2
2021,7,DEPT OF NATRL RES AND ENV CONT,Parks and Recreation,AMZN MKTP US*D24AT3EK3,Book Stores,01-06-2021,139.87,-39.870000000000005
2023,3,EXECUTIVE,Fleet Management,TRANS PLUS INC,Automotive Body Repair Shops,09-06-2022,6656.27,-6556.27
2019,10,DEPT OF HEALTH AND SOCIAL SV,Social Services,STAPLS0174219159001001,Stationery-Office Supplies-Printing Writing Pap,04/27/2019,-46.09,53.91
2022,2,DEPT OF HEALTH AND SOCIAL SV,Social Services,STAPLS0193502372000001,Stationery-Office Supplies-Printing Writing Pap,08-05-2021,12.72,87.28
2020,2,SUSSEX TECHNICAL SCHL DISTRICT,Sussex Technical Schl District,AMZN MKTP US*MA1D562W1,Book Stores,08-09-2019,42.99,57.01
2020,5,DEPT OF NATRL RES AND ENV CONT,Water,J.S. BENNETT And SON INC,Towing Services,11-05-2019,178.0,-78.0
2022,1,SUSSEX ACADEMY OF ARTSSCIENCE,Sussex Academy Of ArtsScience,WATER GEAR INC,Sporting Goods Stores,07-08-2021,250.57,-150.57
2020,4,DEPT OF HEALTH AND SOCIAL SV,Community Health,FACEBK K5ALNN67U2,Advertising Services,09/30/2019,76.19,23.810000000000002
2023,2,DEPT OF CORRECTIONS,Food Services,IN *TRIPLE C FOODS LLC,Business Services-Not Elsewhere Classified,08/23/2022,8814.6,-8714.6
2020,9,SUSSEX ACADEMY OF ARTSSCIENCE,Sussex Academy Of ArtsScience,STAPLES DIRECT,Stationery-Office Supplies-Printing Writing Pap,03-10-2020,89.97,10.030000000000001
2019,9,DEPT OF HEALTH AND SOCIAL SV,Child Support Services,USPS PO 0968200550,Postal Services-Government Only,03-01-2019,52.36,47.64
2019,1,DEPT OF NATRL RES AND ENV CONT,Watershed Stewardship,FOX RUN AUTOMOTIVE,Automotive Service Shops,07/13/2018,770.45,-670.45
2023,1,FIRE PREVENTION COMMISSION,Office OT State Fire Marshal,NATIONAL EMERGENCY TRAIN,Fast Food Restaurants,06/29/2022,-337.64,-237.64
2019,10,DEPT OF NATRL RES AND ENV CONT,Waste and Hazardous Substances,BAYHEALTH MEDICAL CENTER,Doctors Not Elsewhere Classified,04/17/2019,164.5,-64.5
2021,5,DEL TECH AND COMM COLLEGE,DTCC - Stanton Campus,NEWARK NATURAL FOODS-,Grocery Stores Supermarkets,11-11-2020,15.07,84.93
